mes,cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
2026-08,Jaraguá do Sul,Braço do Ribeirão Cavalo,terreno,venda,553.8,521.9,596.0,7,,agosto/2026
2026-08,Jaraguá do Sul,Centenário,terreno,venda,1270.6,1157.4,1323.6,10,,agosto/2026
2026-08,Jaraguá do Sul,Centro,terreno,venda,2045.0,1548.6,2682.7,64,,agosto/2026
2026-08,Jaraguá do Sul,Chico de Paula,terreno,venda,963.7,622.2,1139.0,37,,agosto/2026
2026-08,Jaraguá do Sul,Czerniewicz,terreno,venda,1279.3,1200.0,1703.2,21,,agosto/2026
2026-08,Jaraguá do Sul,Estrada Nova,terreno,venda,578.7,396.4,763.4,12,,agosto/2026
2026-08,Jaraguá do Sul,Ilha da Figueira,terreno,venda,805.9,379.0,1291.5,44,,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 84,terreno,venda,610.2,315.4,676.3,10,,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 99,terreno,venda,753.3,454.0,813.6,25,,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá Esquerdo,terreno,venda,1108.2,910.6,1292.3,51,,agosto/2026
2026-08,Jaraguá do Sul,João Pessoa,terreno,venda,851.1,470.8,919.6,40,,agosto/2026
2026-08,Jaraguá do Sul,Nereu Ramos,terreno,venda,597.4,480.4,706.1,27,,agosto/2026
2026-08,Jaraguá do Sul,Nova Brasília,terreno,venda,1328.6,1175.7,2408.1,15,,agosto/2026
2026-08,Jaraguá do Sul,Rau,terreno,venda,964.7,828.4,1196.2,58,,agosto/2026
2026-08,Jaraguá do Sul,Ribeirão Cavalo,terreno,venda,561.9,428.6,581.6,10,,agosto/2026
2026-08,Jaraguá do Sul,Rio Cerro I,terreno,venda,682.9,482.8,689.1,38,,agosto/2026
2026-08,Jaraguá do Sul,Rio Cerro II,terreno,venda,326.3,154.5,485.3,12,,agosto/2026
2026-08,Jaraguá do Sul,Rio da Luz,terreno,venda,615.2,494.8,733.8,49,,agosto/2026
2026-08,Jaraguá do Sul,Santa Luzia,terreno,venda,292.0,114.9,825.5,27,,agosto/2026
2026-08,Jaraguá do Sul,Santo Antônio,terreno,venda,679.0,577.8,722.2,9,,agosto/2026
2026-08,Jaraguá do Sul,São Luís,terreno,venda,976.3,621.3,1186.2,15,,agosto/2026
2026-08,Jaraguá do Sul,Tifa Martins,terreno,venda,980.1,641.9,1187.1,26,,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Norte,terreno,venda,718.7,610.3,844.8,104,,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Sul,terreno,venda,854.7,619.1,964.2,27,,agosto/2026
2026-08,Jaraguá do Sul,Vieira,terreno,venda,884.2,271.2,1181.8,11,,agosto/2026
2026-08,Jaraguá do Sul,Vila Chartres,terreno,venda,917.8,844.6,1000.0,15,,agosto/2026
2026-08,Jaraguá do Sul,Vila Lalau,terreno,venda,1479.6,857.9,2028.2,17,,agosto/2026
2026-08,Jaraguá do Sul,Vila Lenzi,terreno,venda,1095.6,744.0,1498.1,30,,agosto/2026
2026-08,Jaraguá do Sul,Vila Nova,terreno,venda,1265.4,529.1,1750.0,37,,agosto/2026
2026-08,Jaraguá do Sul,Amizade,sala,aluguel,32.5,25.9,43.5,14,,agosto/2026
2026-08,Jaraguá do Sul,Baependi,sala,aluguel,40.0,35.0,50.0,8,,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,sala,aluguel,37.5,31.9,44.8,25,,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Molha,sala,aluguel,45.8,36.2,48.4,22,,agosto/2026
2026-08,Jaraguá do Sul,Centro,sala,venda,6192.5,5506.0,8742.3,26,8.72,agosto/2026
2026-08,Jaraguá do Sul,Centro,sala,aluguel,45.0,33.3,59.3,135,8.72,agosto/2026
2026-08,Jaraguá do Sul,Chico de Paula,sala,aluguel,44.0,38.7,49.8,15,,agosto/2026
2026-08,Jaraguá do Sul,Czerniewicz,sala,aluguel,40.8,28.7,46.1,12,,agosto/2026
2026-08,Jaraguá do Sul,Ilha da Figueira,sala,aluguel,40.0,34.6,46.7,21,,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá Esquerdo,sala,aluguel,38.1,34.6,48.3,18,,agosto/2026
2026-08,Jaraguá do Sul,Nereu Ramos,sala,aluguel,30.0,30.0,35.5,13,,agosto/2026
2026-08,Jaraguá do Sul,Nova Brasília,sala,aluguel,39.3,28.1,57.1,22,,agosto/2026
2026-08,Jaraguá do Sul,Tifa Martins,sala,aluguel,40.1,34.7,44.7,6,,agosto/2026
2026-08,Jaraguá do Sul,Vieira,sala,aluguel,55.1,48.1,60.0,7,,agosto/2026
2026-08,Jaraguá do Sul,Vila Lalau,sala,aluguel,27.2,24.4,37.7,10,,agosto/2026
2026-08,Jaraguá do Sul,Vila Lenzi,sala,aluguel,54.8,50.2,57.1,10,,agosto/2026
2026-08,Jaraguá do Sul,Vila Nova,sala,aluguel,47.1,35.4,60.9,46,,agosto/2026
2026-08,Jaraguá do Sul,Água Verde,galpao,aluguel,20.0,17.2,20.2,8,,agosto/2026
2026-08,Jaraguá do Sul,Amizade,galpao,aluguel,26.0,22.0,28.0,5,,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,galpao,venda,3263.8,2266.2,4315.4,6,7.46,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,galpao,aluguel,20.3,18.3,25.4,12,7.46,agosto/2026
2026-08,Jaraguá do Sul,Czerniewicz,galpao,aluguel,16.7,12.9,19.6,7,,agosto/2026
2026-08,Jaraguá do Sul,Ilha da Figueira,galpao,aluguel,16.7,15.2,20.8,9,,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá Esquerdo,galpao,aluguel,17.8,14.9,19.6,7,,agosto/2026
2026-08,Jaraguá do Sul,João Pessoa,galpao,aluguel,20.2,18.2,26.6,6,,agosto/2026
2026-08,Jaraguá do Sul,Nereu Ramos,galpao,aluguel,18.1,14.5,20.7,24,,agosto/2026
2026-08,Jaraguá do Sul,Rio Cerro I,galpao,aluguel,11.1,9.0,15.1,7,,agosto/2026
2026-08,Jaraguá do Sul,Rio da Luz,galpao,aluguel,21.7,20.0,22.0,5,,agosto/2026
2026-08,Jaraguá do Sul,Três Rios do Norte,galpao,aluguel,24.0,21.1,24.0,5,,agosto/2026
2026-08,Jaraguá do Sul,Vieira,galpao,aluguel,22.0,20.5,25.4,7,,agosto/2026
2026-08,Joinville,Adhemar Garcia,apartamento,aluguel,26.5,24.8,29.2,10,,agosto/2026
2026-08,Joinville,América,apartamento,venda,8918.3,6642.8,11281.4,380,4.79,agosto/2026
2026-08,Joinville,América,apartamento,aluguel,35.6,28.0,44.7,95,4.79,agosto/2026
2026-08,Joinville,Anita Garibaldi,apartamento,venda,8144.9,6451.6,9754.4,347,5.01,agosto/2026
2026-08,Joinville,Anita Garibaldi,apartamento,aluguel,34.0,27.4,47.2,91,5.01,agosto/2026
2026-08,Joinville,Atiradores,apartamento,venda,8808.4,7096.5,11465.2,223,4.25,agosto/2026
2026-08,Joinville,Atiradores,apartamento,aluguel,31.2,26.7,42.1,44,4.25,agosto/2026
2026-08,Joinville,Aventureiro,apartamento,venda,5357.1,4877.6,6078.2,35,6.09,agosto/2026
2026-08,Joinville,Aventureiro,apartamento,aluguel,27.2,23.4,30.3,26,6.09,agosto/2026
2026-08,Joinville,Boa Vista,apartamento,venda,5959.9,4791.7,6438.9,14,5.88,agosto/2026
2026-08,Joinville,Boa Vista,apartamento,aluguel,29.2,24.8,34.0,23,5.88,agosto/2026
2026-08,Joinville,Boehmerwald,apartamento,venda,5133.3,4545.5,5232.3,5,6.38,agosto/2026
2026-08,Joinville,Boehmerwald,apartamento,aluguel,27.3,23.5,30.8,17,6.38,agosto/2026
2026-08,Joinville,Bom Retiro,apartamento,venda,6039.0,5165.7,7447.8,75,5.96,agosto/2026
2026-08,Joinville,Bom Retiro,apartamento,aluguel,30.0,26.3,35.6,51,5.96,agosto/2026
2026-08,Joinville,Bucarein,apartamento,venda,6696.2,5322.3,7940.8,71,5.75,agosto/2026
2026-08,Joinville,Bucarein,apartamento,aluguel,32.1,27.0,39.3,37,5.75,agosto/2026
2026-08,Joinville,Centro,apartamento,venda,8502.0,6372.5,11344.3,146,5.08,agosto/2026
2026-08,Joinville,Centro,apartamento,aluguel,36.0,27.8,48.9,96,5.08,agosto/2026
2026-08,Joinville,Comasa,apartamento,venda,4713.2,4333.8,5760.3,7,10.16,agosto/2026
2026-08,Joinville,Comasa,apartamento,aluguel,39.9,35.6,49.2,6,10.16,agosto/2026
2026-08,Joinville,Costa e Silva,apartamento,venda,6375.0,5258.5,7606.6,215,6.12,agosto/2026
2026-08,Joinville,Costa e Silva,apartamento,aluguel,32.5,27.0,38.9,95,6.12,agosto/2026
2026-08,Joinville,Espinheiros,apartamento,venda,6282.6,5472.5,6549.7,7,,agosto/2026
2026-08,Joinville,Fátima,apartamento,venda,5230.8,4701.5,5877.8,13,,agosto/2026
2026-08,Joinville,Floresta,apartamento,venda,5755.8,4532.0,6957.0,91,6.32,agosto/2026
2026-08,Joinville,Floresta,apartamento,aluguel,30.3,26.2,36.3,50,6.32,agosto/2026
